author,author_model,pair,rouge1,rouge2,rougeL,cosine
LLM-1,gpt-5.6-sol,after LLM-2 vs after LLM-3,0.7031164570803717,0.27727645611156687,0.2613449972662657,0.7136423000899519
LLM-1,gpt-5.6-sol,after LLM-2 vs after LLM-4,0.6705610650726803,0.25112107623318386,0.2309468822170901,0.6860750908449094
LLM-1,gpt-5.6-sol,after LLM-2 vs after LLM-5,0.7101070775659443,0.25600835945663536,0.22303473491773312,0.7073184767911036
LLM-1,gpt-5.6-sol,after LLM-3 vs after LLM-4,0.7388615823687966,0.32577319587628867,0.33423180592991913,0.7824375396001408
LLM-1,gpt-5.6-sol,after LLM-3 vs after LLM-5,0.725923682616596,0.29172977885489243,0.27437916414294367,0.7225072209870466
LLM-1,gpt-5.6-sol,after LLM-4 vs after LLM-5,0.6963453150849751,0.27440950804874376,0.26921341555121076,0.7109330567718363
LLM-2,kimi-k3,after LLM-1 vs after LLM-3,0.5590227382680213,0.12557464311638036,0.125544267053701,0.45442900145418563
LLM-2,kimi-k3,after LLM-1 vs after LLM-4,0.6066905615292713,0.16252390057361377,0.14241338112305854,0.5447403852326819
LLM-2,kimi-k3,after LLM-1 vs after LLM-5,0.5099039980556568,0.09675458854989667,0.12030623405030988,0.3930507185469414
LLM-2,kimi-k3,after LLM-3 vs after LLM-4,0.661760840998686,0.2082018927444795,0.1971090670170828,0.5885338906307079
LLM-2,kimi-k3,after LLM-3 vs after LLM-5,0.6643459633150355,0.22847194321682068,0.20913107511045656,0.5318032286341324
LLM-2,kimi-k3,after LLM-4 vs after LLM-5,0.5996565843349624,0.1654115471000132,0.1429137498348963,0.516857437057517
LLM-3,qwen3.7-max,after LLM-1 vs after LLM-2,0.548709122203098,0.15845676885980023,0.19139414802065405,0.4376067927440811
LLM-3,qwen3.7-max,after LLM-1 vs after LLM-4,0.5931794695142956,0.20130989314029643,0.23079572855666552,0.48506055995409847
LLM-3,qwen3.7-max,after LLM-1 vs after LLM-5,0.556420233463035,0.1791277258566978,0.21089494163424127,0.43308400759914134
LLM-3,qwen3.7-max,after LLM-2 vs after LLM-4,0.6253263707571801,0.2495101241018942,0.2689295039164491,0.5429666949496439
LLM-3,qwen3.7-max,after LLM-2 vs after LLM-5,0.610765287440498,0.22132649322096004,0.2614426949835225,0.48444284406630683
LLM-3,qwen3.7-max,after LLM-4 vs after LLM-5,0.6559179186515207,0.37843784378437845,0.4096738732136314,0.6053925570122929
LLM-4,gemini-3.1-pro-preview,after LLM-1 vs after LLM-2,0.5973094170403588,0.19389587073608616,0.21524663677130046,0.42541059049841595
LLM-4,gemini-3.1-pro-preview,after LLM-1 vs after LLM-3,0.5948936170212766,0.22998296422487224,0.25106382978723407,0.5092025347233596
LLM-4,gemini-3.1-pro-preview,after LLM-1 vs after LLM-5,0.5990380411018803,0.2188183807439825,0.24223874070835155,0.515913271387996
LLM-4,gemini-3.1-pro-preview,after LLM-2 vs after LLM-3,0.5410895660203139,0.1654343807763401,0.21144967682363805,0.4130536939428038
LLM-4,gemini-3.1-pro-preview,after LLM-2 vs after LLM-5,0.5620542082738944,0.1485007139457401,0.20446980504041842,0.3806145614379423
LLM-4,gemini-3.1-pro-preview,after LLM-3 vs after LLM-5,0.686459739091318,0.34939216569113013,0.39586144849302746,0.6606094253211013
LLM-5,claude-opus-4.8,after LLM-1 vs after LLM-2,0.5557884928954111,0.13423444418550456,0.1430235266713254,0.40906267451325085
LLM-5,claude-opus-4.8,after LLM-1 vs after LLM-3,0.5552223888055972,0.125,0.13993003498250875,0.4022524135470923
LLM-5,claude-opus-4.8,after LLM-1 vs after LLM-4,0.5293336872843112,0.11792828685258964,0.14759755773825325,0.4460647969897019
LLM-5,claude-opus-4.8,after LLM-2 vs after LLM-3,0.6260645161290322,0.23341079266718306,0.26477419354838705,0.5090699956239264
LLM-5,claude-opus-4.8,after LLM-2 vs after LLM-4,0.5873626373626374,0.2017592083562397,0.24725274725274726,0.4842894403942151
LLM-5,claude-opus-4.8,after LLM-3 vs after LLM-4,0.6240668856375038,0.2521661189124589,0.2991937891908032,0.5474760589663297
